,...1,DET,Date,Temp(F),species,site,column,row,BlockNum,hole_diameter,size
110,141,OP,5/21/2024,81,O. cornifrons,2,1,5,Block 2,7.9,5
19,20,OP,5/1/2024,68,O. georgica,2,1,2,Block 1,4.8,2
111,142,OP,5/21/2024,81,O. georgica,2,2,2,Block 1,4.8,2
60,71,OP,5/7/2024,68,O. georgica,2,5,2,Block 1,4.8,2
113,145,OP,5/21/2024,81,O. georgica,2,6,2,Block 1,4.8,2
59,70,OP,5/7/2024,68,O. georgica,2,7,2,Block 1,4.8,2
58,68,OP,5/7/2024,68,O. georgica,2,8,2,Block 1,4.8,2
21,22,OP,5/1/2024,68,O. georgica,2,9,2,Block 1,4.8,2
20,21,OP,5/1/2024,68,O. georgica,2,10,14,Block 5,4.8,2
112,143,OP,5/21/2024,81,O. georgica,2,10,3,Block 1,6,3
61,72,OP,5/7/2024,68,O. cornifrons,3,1,3,Block 1,6,3
23,24,OP,5/6/2023,70,O. cornifrons,3,5,5,Block 2,7.9,5
22,23,OP,5/6/2023,70,O. cornifrons,3,8,5,Block 2,7.9,5
114,146,OP,5/24/2024,81,O. cornifrons,4,10,17,Block 6,7.9,5
116,149,OP,5/31/2024,81,O. georgica,4,8,2,Block 1,4.8,2
117,150,OP,5/31/2024,81,O. georgica,4,9,2,Block 1,4.8,2
118,151,OP,5/31/2024,81,O. georgica,4,10,2,Block 1,4.8,2
80,100,OP,5/8/2024,76,O. cornifrons,5,5,2,Block 1,4.8,2
38,45,OP,5/6/2023,70,O. cornifrons,5,1,9,Block 3,6,3
39,46,OP,5/6/2023,70,O. cornifrons,5,2,9,Block 3,6,3
2,2,OP,4/25/2024,54,O. cornifrons,5,3,9,Block 3,6,3
35,40,OP,5/6/2023,70,O. cornifrons,5,4,9,Block 3,6,3
1,1,OP,4/25/2024,54,O. cornifrons,5,5,3,Block 1,6,3
71,89,OP,5/8/2024,76,O. cornifrons,5,5,9,Block 3,6,3
5,5,OP,4/25/2024,54,O. cornifrons,5,6,3,Block 1,6,3
34,38,OP,5/6/2023,70,O. cornifrons,5,6,9,Block 3,6,3
67,84,OP,5/8/2024,76,O. cornifrons,5,7,9,Block 3,6,3
27,29,OP,5/6/2023,70,O. cornifrons,5,8,9,Block 3,6,3
26,28,OP,5/6/2023,70,O. cornifrons,5,9,9,Block 3,6,3
105,135,OP,5/20/2024,81,O. cornifrons,5,10,3,Block 1,6,3
29,31,OP,5/6/2023,70,O. cornifrons,5,1,4,Block 2,7.1,4
40,47,OP,5/6/2023,70,O. cornifrons,5,1,10,Block 4,7.1,4
30,32,OP,5/6/2023,70,O. cornifrons,5,2,4,Block 2,7.1,4
32,35,OP,5/6/2023,70,O. cornifrons,5,9,10,Block 4,7.1,4
106,136,OP,5/20/2024,81,O. cornifrons,5,10,4,Block 2,7.1,4
36,41,OP,5/6/2023,70,O. cornifrons,5,3,11,Block 4,7.9,5
24,25,OP,5/6/2023,70,O. cornifrons,5,4,5,Block 2,7.9,5
6,6,OP,4/25/2024,54,O. cornifrons,5,6,5,Block 2,7.9,5
109,140,OP,5/20/2024,81,O. cornifrons,5,6,11,Block 4,7.9,5
69,86,OP,5/8/2024,76,O. cornifrons,5,7,5,Block 2,7.9,5
37,44,OP,5/6/2023,70,O. cornifrons,5,8,5,Block 2,7.9,5
79,99,OP,5/8/2024,76,O. cornifrons,5,10,11,Block 4,7.9,5
28,30,OP,5/6/2023,70,O. cornifrons,5,2,6,Block 2,11.9,6
68,85,OP,5/8/2024,76,O. cornifrons,5,2,18,Block 6,11.9,6
77,97,OP,5/8/2024,76,O. cornifrons,5,3,18,Block 6,11.9,6
33,36,OP,5/6/2023,70,O. cornifrons,5,4,6,Block 2,11.9,6
4,4,OP,4/25/2024,54,O. cornifrons,5,5,6,Block 2,11.9,6
66,82,OP,5/8/2024,76,O. cornifrons,5,8,6,Block 2,11.9,6
31,33,OP,5/6/2023,70,O. cornifrons,5,9,12,Block 4,11.9,6
76,96,OP,5/8/2024,76,O. cornifrons,5,9,6,Block 2,11.9,6
25,27,OP,5/6/2023,70,O. cornifrons,5,10,18,Block 6,11.9,6
81,102,OP,5/8/2024,76,O. cornifrons,5,10,6,Block 2,11.9,6
108,138,OP,5/20/2024,81,O. georgica,5,3,2,Block 1,4.8,2
107,137,OP,5/20/2024,81,O. georgica,5,4,2,Block 1,4.8,2
133,176,OP,6/19/2024,78,O. georgica,5,8,8,Block 3,4.8,2
70,87,OP,5/8/2024,76,O. georgica,5,9,8,Block 3,4.8,2
72,91,OP,5/8/2024,76,O. georgica,5,10,2,Block 1,4.8,2
7,7,OP,4/29/2024,79,O. cornifrons,1,1,6,Block 2,11.9,6
53,61,OP,5/7/2024,68,O. georgica,1,10,13,Block 5,3.2,1
8,8,OP,4/29/2024,79,O. georgica,1,1,8,Block 3,4.8,2
96,123,OP,5/17/2024,64,O. georgica,1,1,2,Block 1,4.8,2
129,170,OP,6/18/2024,74,O. georgica,1,1,14,Block 5,4.8,2
119,156,OP,6/6/2024,NA,O. georgica,1,2,2,Block 1,4.8,2
130,171,OP,6/18/2024,74,O. georgica,1,2,14,Block 5,4.8,2
95,122,OP,5/17/2024,64,O. georgica,1,3,2,Block 1,4.8,2
92,119,OP,5/17/2024,64,O. georgica,1,4,14,Block 5,4.8,2
13,13,OP,5/1/2024,68,O. georgica,1,5,2,Block 1,4.8,2
18,18,OP,5/1/2024,68,O. georgica,1,5,14,Block 5,4.8,2
10,10,OP,4/29/2024,79,O. georgica,1,6,8,Block 3,4.8,2
52,60,OP,5/7/2024,68,O. georgica,1,6,2,Block 1,4.8,2
49,56,OP,5/7/2024,68,O. georgica,1,7,14,Block 5,4.8,2
88,114,OP,5/17/2024,64,O. georgica,1,7,2,Block 1,4.8,2
74,94,OP,5/8/2024,76,O. georgica,1,8,14,Block 5,4.8,2
120,157,OP,6/6/2024,NA,O. georgica,1,8,2,Block 1,4.8,2
73,93,OP,5/8/2024,76,O. georgica,1,9,8,Block 3,4.8,2
90,116,OP,5/17/2024,64,O. georgica,1,9,2,Block 1,4.8,2
97,124,OP,5/20/2024,81,O. georgica,1,9,14,Block 5,4.8,2
14,14,OP,5/1/2024,68,O. georgica,1,10,2,Block 1,4.8,2
131,173,OP,6/18/2024,74,O. georgica,1,10,14,Block 5,4.8,2
57,67,OP,5/7/2024,68,O. georgica,1,1,9,Block 3,6,3
87,111,OP,5/17/2024,64,O. georgica,1,1,3,Block 1,6,3
17,17,OP,5/1/2024,68,O. georgica,1,2,9,Block 3,6,3
128,166,OP,6/18/2024,74,O. georgica,1,2,3,Block 1,6,3
91,118,OP,5/17/2024,64,O. georgica,1,3,15,Block 5,6,3
50,57,OP,5/7/2024,68,O. georgica,1,4,15,Block 5,6,3
135,178,OP,6/19/2024,78,O. georgica,1,5,3,Block 1,6,3
15,15,OP,5/1/2024,68,O. georgica,1,6,15,Block 5,6,3
75,95,OP,5/8/2024,76,O. georgica,1,6,3,Block 1,6,3
16,16,OP,5/1/2024,68,O. georgica,1,7,3,Block 1,6,3
93,120,OP,5/17/2024,64,O. georgica,1,7,15,Block 5,6,3
9,9,OP,4/29/2024,79,O. georgica,1,9,3,Block 1,6,3
134,177,OP,6/19/2024,78,O. georgica,1,9,15,Block 5,6,3
56,65,OP,5/7/2024,68,O. georgica,1,10,3,Block 1,6,3
89,115,OP,5/17/2024,64,O. georgica,1,10,15,Block 5,6,3
98,125,OP,5/20/2024,81,O. georgica,1,10,9,Block 3,6,3
125,163,OP,6/6/2024,NA,O. georgica,1,3,4,Block 2,7.1,4
94,121,OP,5/17/2024,64,O. georgica,1,4,4,Block 2,7.1,4
126,164,OP,6/6/2024,NA,O. georgica,1,5,4,Block 2,7.1,4
12,12,OP,5/1/2024,68,O. georgica,1,6,4,Block 2,7.1,4
11,11,OP,4/29/2024,79,O. georgica,1,7,4,Block 2,7.1,4
121,159,OP,6/6/2024,NA,O. georgica,1,7,10,Block 4,7.1,4
123,161,OP,6/6/2024,NA,O. georgica,1,8,4,Block 2,7.1,4
54,63,OP,5/7/2024,68,O. georgica,1,9,4,Block 2,7.1,4
122,160,OP,6/6/2024,NA,O. georgica,1,9,10,Block 4,7.1,4
55,64,OP,5/7/2024,68,O. georgica,1,10,16,Block 6,7.1,4
127,165,OP,6/6/2024,NA,O. georgica,1,10,10,Block 4,7.1,4
124,162,OP,6/6/2024,NA,O. georgica,1,1,5,Block 2,7.9,5
86,110,OP,5/17/2024,64,O. georgica,1,2,5,Block 2,7.9,5
51,58,OP,5/7/2024,68,O. georgica,1,5,17,Block 6,7.9,5
104,134,OP,5/20/2024,81,O. cornifrons,6,10,4,Block 2,7.1,4
65,78,OP,5/7/2024,68,O. cornifrons,6,2,5,Block 2,7.9,5
101,131,OP,5/20/2024,81,O. cornifrons,6,6,11,Block 4,7.9,5
44,51,OP,5/6/2023,70,O. cornifrons,6,6,18,Block 6,11.9,6
62,73,OP,5/7/2024,68,O. cornifrons,6,10,18,Block 6,11.9,6
99,126,OP,5/20/2024,81,O. georgica,6,10,13,Block 5,3.2,1
63,74,OP,5/7/2024,68,O. georgica,6,1,2,Block 1,4.8,2
82,104,OP,5/16/2024,70,O. georgica,6,2,8,Block 3,4.8,2
115,147,OP,5/31/2024,81,O. georgica,6,2,2,Block 1,4.8,2
48,55,OP,5/6/2023,70,O. georgica,6,3,2,Block 1,4.8,2
100,130,OP,5/20/2024,81,O. georgica,6,4,14,Block 5,4.8,2
102,132,OP,5/20/2024,81,O. georgica,6,4,2,Block 1,4.8,2
64,75,OP,5/7/2024,68,O. georgica,6,5,2,Block 1,4.8,2
47,54,OP,5/6/2023,70,O. georgica,6,6,2,Block 1,4.8,2
85,108,OP,5/16/2024,70,O. georgica,6,8,14,Block 5,4.8,2
132,175,OP,6/19/2024,78,O. georgica,6,8,8,Block 3,4.8,2
103,133,OP,5/20/2024,81,O. georgica,6,10,2,Block 1,4.8,2
84,107,OP,5/16/2024,70,O. georgica,6,1,3,Block 1,6,3
43,50,OP,5/6/2023,70,O. georgica,6,1,16,Block 6,7.1,4
45,52,OP,5/6/2023,70,O. georgica,6,2,16,Block 6,7.1,4
42,49,OP,5/6/2023,70,O. georgica,6,3,16,Block 6,7.1,4
46,53,OP,5/6/2023,70,O. georgica,6,7,10,Block 4,7.1,4
83,106,OP,5/16/2024,70,O. georgica,6,9,4,Block 2,7.1,4
